Freq[Hz]     dBSPL  Phase[Deg]
5.00000     60.535   154.243
5.07273     60.646   154.127
5.14651     60.790   153.977
5.22137     60.983   153.780
5.29732     61.196   153.573
5.37437     61.430   153.343
5.45254     61.665   153.115
5.53185     61.900   152.885
5.61231     62.134   152.651
5.69394     62.369   152.414
5.77676     62.603   152.174
5.86079     62.838   151.930
5.94604     63.072   151.682
6.03252     63.307   151.431
6.12027     63.542   151.176
6.20929     63.776   150.918
6.29961     64.011   150.655
6.39124     64.245   150.388
6.48420     64.480   150.118
6.57851     64.714   149.842
6.67420     64.949   149.563
6.77128     65.183   149.280
6.86977     65.418   148.992
6.96969     65.653   148.699
7.07107     65.887   148.401
7.17392     66.122   148.099
7.27827     66.356   147.792
7.38413     66.591   147.479
7.49154     66.825   147.162
7.60050     67.060   146.840
7.71105     67.295   146.512
7.82321     67.529   146.178
7.93701     67.764   145.839
8.05245     67.998   145.494
8.16958     68.233   145.143
8.28841     68.467   144.786
8.40896     68.702   144.423
8.53128     68.936   144.053
8.65537     69.171   143.677
8.78126     69.406   143.293
8.90899     69.640   142.903
9.03857     69.875   142.505
9.17004     70.109   142.100
9.30342     70.344   141.687
9.43874     70.578   141.266
9.57603     70.813   140.836
9.71532     71.048   140.397
9.85663     71.282   139.949
10.0000     71.517   139.488
10.1455     71.751   139.013
10.2930     71.983   138.527
10.4427     72.211   138.039
10.5946     72.440   137.559
10.7487     72.668   137.094
10.9051     72.906   136.624
11.0637     73.145   136.120
11.2246     73.378   135.606
11.3879     73.617   135.083
11.5535     73.853   134.553
11.7216     74.098   134.022
11.8921     74.357   133.433
12.0650     74.620   132.727
12.2405     74.871   131.899
12.4186     75.102   130.986
12.5992     75.307   130.057
12.7825     75.488   129.208
12.9684     75.668   128.471
13.1570     75.853   127.806
13.3484     76.043   127.184
13.5426     76.243   126.568
13.7395     76.440   125.945
13.9394     76.639   125.327
14.1421     76.836   124.724
14.3478     77.038   124.144
14.5565     77.246   123.572
14.7683     77.463   122.985
14.9831     77.684   122.368
15.2010     77.910   121.729
15.4221     78.150   121.030
15.6464     78.392   120.227
15.8740     78.631   119.322
16.1049     78.865   118.294
16.3392     79.078   117.154
16.5768     79.261   115.978
16.8179     79.417   114.852
17.0626     79.561   113.816
17.3107     79.696   112.877
17.5625     79.826   112.058
17.8180     79.969   111.339
18.0771     80.126   110.655
18.3401     80.292   109.971
18.6068     80.462   109.284
18.8775     80.644   108.577
19.1521     80.832   107.823
19.4306     81.026   107.010
19.7133     81.223   106.119
20.0000     81.420   105.131
20.2909     81.613   104.014
20.5860     81.780   102.789
20.8855     81.923   101.526
21.1893     82.041   100.265
21.4975     82.126    99.078
21.8102     82.192    98.049
22.1274     82.258    97.173
22.4492     82.320    96.444
22.7758     82.397    95.849
23.1071     82.491    95.327
23.4432     82.598    94.845
23.7841     82.722    94.378
24.1301     82.864    93.871
24.4811     83.010    93.307
24.8372     83.164    92.676
25.1984     83.318    91.947
25.5649     83.455    91.158
25.9368     83.576    90.394
26.3141     83.697    89.673
26.6968     83.816    88.984
27.0851     83.933    88.354
27.4791     84.064    87.763
27.8788     84.209    87.157
28.2843     84.365    86.492
28.6957     84.526    85.724
29.1131     84.675    84.865
29.5365     84.810    83.963
29.9661     84.932    83.062
30.4020     85.046    82.191
30.8442     85.152    81.379
31.2929     85.268    80.609
31.7480     85.392    79.819
32.2098     85.511    79.014
32.6783     85.640    78.177
33.1536     85.761    77.284
33.6359     85.877    76.358
34.1251     85.985    75.392
34.6215     86.070    74.449
35.1250     86.156    73.562
35.6359     86.238    72.704
36.1543     86.316    71.900
36.6802     86.408    71.099
37.2137     86.489    70.286
37.7550     86.569    69.498
38.3041     86.649    68.722
38.8613     86.723    67.976
39.4265     86.803    67.269
40.0000     86.887    66.579
40.5818     86.986    65.865
41.1721     87.086    65.075
41.7710     87.174    64.230
42.3785     87.253    63.364
42.9949     87.313    62.519
43.6203     87.362    61.774
44.2548     87.422    61.123
44.8985     87.496    60.501
45.5515     87.581    59.857
46.2141     87.669    59.176
46.8863     87.764    58.434
47.5683     87.852    57.625
48.2602     87.927    56.801
48.9621     88.000    55.980
49.6743     88.069    55.148
50.3968     88.130    54.321
51.1299     88.188    53.515
51.8736     88.251    52.697
52.6281     88.307    51.833
53.3936     88.335    51.001
54.1702     88.357    50.292
54.9581     88.391    49.675
55.7575     88.436    49.099
56.5685     88.494    48.530
57.3914     88.567    47.898
58.2261     88.636    47.176
59.0730     88.692    46.417
