Freq[Hz]     dBSPL  Phase[Deg]
126.992     60.167  -162.134
128.839     60.448  -164.214
130.713     60.662  -166.341
132.615     60.791  -168.371
134.543     60.840  -170.068
136.500     60.851  -171.310
138.486     60.844  -172.078
140.500     60.839  -172.365
142.544     60.862  -172.221
144.617     60.931  -171.741
146.721     61.051  -171.026
148.855     61.226  -170.179
151.020     61.449  -169.272
153.217     61.721  -168.364
155.445     62.036  -167.516
157.706     62.389  -166.769
160.000     62.774  -166.141
162.327     63.192  -165.660
164.688     63.640  -165.387
167.084     64.106  -165.371
169.514     64.580  -165.641
171.980     65.046  -166.206
174.481     65.480  -167.001
177.019     65.890  -167.949
179.594     66.269  -168.990
182.206     66.618  -170.025
184.856     66.959  -171.010
187.545     67.301  -171.972
190.273     67.648  -172.958
193.041     68.002  -174.038
195.849     68.344  -175.248
198.697     68.670  -176.578
201.587     68.972  -178.020
204.520     69.237  -179.522
207.494     69.466   178.996
210.512     69.658   177.606
213.574     69.825   176.354
216.681     69.964   175.290
219.833     70.084   174.494
223.030     70.207   174.004
226.274     70.348   173.798
229.565     70.523   173.863
232.905     70.762   174.126
236.292     71.093   174.385
239.729     71.515   174.342
243.216     71.993   173.672
246.754     72.437   172.194
250.343     72.747   170.114
253.984     72.892   167.925
257.678     72.867   166.260
261.426     72.750   165.687
265.229     72.689   166.324
269.087     72.806   167.789
273.001     73.163   169.370
276.972     73.697   170.334
281.000     74.281   170.274
285.088     74.798   169.216
289.234     75.170   167.594
293.441     75.411   166.004
297.709     75.575   164.881
302.040     75.745   164.367
306.433     75.999   164.234
310.890     76.330   164.130
315.412     76.718   163.814
320.000     77.131   163.129
324.655     77.521   162.090
329.377     77.872   160.845
334.168     78.185   159.527
339.028     78.465   158.250
343.959     78.728   157.098
348.962     78.998   156.084
354.038     79.295   155.125
359.188     79.612   154.114
364.412     79.943   152.968
369.713     80.273   151.648
375.090     80.589   150.176
380.546     80.889   148.589
386.081     81.177   146.894
391.697     81.440   145.093
397.394     81.675   143.210
403.175     81.875   141.286
409.039     82.028   139.413
414.989     82.145   137.706
421.025     82.245   136.215
427.149     82.342   134.932
433.362     82.445   133.825
439.665     82.561   132.837
446.060     82.685   131.915
452.548     82.806   131.086
459.131     82.934   130.392
465.809     83.086   129.818
472.584     83.274   129.281
479.458     83.500   128.640
486.432     83.733   127.797
493.507     83.944   126.789
500.686     84.119   125.756
507.968     84.274   124.848
515.357     84.437   124.104
522.853     84.625   123.467
530.458     84.848   122.806
538.174     85.089   121.992
546.002     85.316   121.027
553.943     85.524   120.001
562.001     85.713   119.009
570.175     85.897   118.108
578.469     86.088   117.304
586.883     86.297   116.564
595.419     86.529   115.832
604.080     86.782   115.052
612.866     87.058   114.167
621.780     87.347   113.120
630.824     87.644   111.866
640.000     87.931   110.382
649.309     88.192   108.691
658.753     88.409   106.875
668.335     88.577   105.073
678.056     88.707   103.430
687.919     88.823   102.035
697.925     88.954   100.881
708.077     89.123    99.873
718.376     89.339    98.859
728.825     89.593    97.686
739.426     89.865    96.261
750.181     90.135    94.547
761.093     90.386    92.550
772.163     90.601    90.311
783.394     90.763    87.928
794.789     90.868    85.532
806.349     90.924    83.243
818.078     90.939    81.161
829.977     90.938    79.325
842.050     90.933    77.717
854.298     90.932    76.313
866.724     90.948    75.067
879.330     90.982    73.912
892.120     91.028    72.823
905.097     91.097    71.763
918.262     91.185    70.661
931.618     91.276    69.504
945.169     91.372    68.299
958.917     91.470    67.039
972.864     91.563    65.744
987.015     91.659    64.418
1001.37     91.755    63.046
1015.94     91.851    61.619
1030.71     91.946    60.115
1045.71     92.034    58.515
1060.92     92.108    56.814
1076.35     92.157    55.038
1092.00     92.173    53.243
1107.89     92.154    51.510
1124.00     92.104    49.919
1140.35     92.032    48.540
1156.94     91.953    47.410
1173.77     91.884    46.525
1190.84     91.844    45.823
1208.16     91.839    45.207
1225.73     91.864    44.588
1243.56     91.913    43.902
1261.65     91.970    43.135
1280.00     92.031    42.319
1298.62     92.099    41.468
1317.51     92.178    40.581
1336.67     92.273    39.622
1356.11     92.386    38.516
1375.84     92.499    37.213
1395.85     92.600    35.708
1416.15     92.677    34.029
1436.75     92.715    32.247
1457.65     92.715    30.461
1478.85     92.680    28.750
1500.36     92.620    27.172
1522.19     92.548    25.749
1544.33     92.474    24.467
1566.79     92.404    23.296
1589.58     92.344    22.191
1612.70     92.293    21.101
1636.16     92.243    19.994
1659.95     92.189    18.870
1684.10     92.126    17.738
1708.60     92.049    16.632
1733.45     91.959    15.594
1758.66     91.865    14.634
1784.24     91.766    13.750
1810.19     91.666    12.940
1836.52     91.562    12.207
1863.24     91.458    11.567
1890.34     91.355    11.031
1917.83     91.262    10.594
1945.73     91.184    10.225
1974.03     91.122     9.888
2002.74     91.075     9.543
2031.87     91.039     9.162
2061.43     91.007     8.740
2091.41     90.975     8.290
2121.83     90.943     7.820
2152.69     90.912     7.338
2184.01     90.879     6.844
2215.77     90.844     6.345
2248.00     90.806     5.848
2280.70     90.766     5.367
2313.87     90.726     4.904
2347.53     90.687     4.449
2381.68     90.645     4.004
2416.32     90.605     3.575
2451.46     90.563     3.158
2487.12     90.519     2.768
2523.30     90.478     2.405
2560.00     90.442     2.045
2597.24     90.408     1.675
2635.01     90.373     1.282
2673.34     90.326     0.885
2712.23     90.267     0.543
2751.68     90.199     0.307
2791.70     90.133     0.203
2832.31     90.081     0.223
2873.50     90.054     0.315
2915.30     90.052     0.412
2957.70     90.074     0.451
3000.72     90.109     0.393
3044.37     90.148     0.236
3088.65     90.186    -0.004
3133.58     90.220    -0.307
3179.16     90.247    -0.648
3225.40     90.269    -1.004
3272.31     90.287    -1.363
3319.91     90.300    -1.711
3368.20     90.312    -2.035
3417.19     90.322    -2.323
3466.89     90.336    -2.560
3517.32     90.358    -2.743
3568.48     90.398    -2.884
3620.39     90.466    -3.035
3673.05     90.565    -3.292
3726.47     90.685    -3.740
3780.67     90.816    -4.447
3835.67     90.937    -5.449
