Freq[Hz]     dBSPL  Phase[Deg]
132.615     59.900   169.197
134.543     60.123   169.010
136.500     60.348   168.820
138.486     60.573   168.628
140.500     60.799   168.434
142.544     61.027   168.237
144.617     61.255   168.038
146.721     61.485   167.835
148.855     61.715   167.630
151.020     61.946   167.422
153.217     62.178   167.211
155.445     62.411   166.997
157.706     62.645   166.780
160.000     62.879   166.560
162.327     63.114   166.336
164.688     63.351   166.109
167.084     63.587   165.879
169.514     63.825   165.645
171.980     64.063   165.407
174.481     64.302   165.165
177.019     64.542   164.920
179.594     64.782   164.670
182.206     65.023   164.417
184.856     65.265   164.159
187.545     65.508   163.897
190.273     65.750   163.631
193.041     65.994   163.360
195.849     66.238   163.085
198.697     66.483   162.805
201.587     66.728   162.520
204.520     66.974   162.230
207.494     67.221   161.934
210.512     67.468   161.634
213.574     67.716   161.328
216.681     67.964   161.017
219.833     68.212   160.700
223.030     68.462   160.377
226.274     68.711   160.048
229.565     68.962   159.713
232.905     69.212   159.372
236.292     69.464   159.024
239.729     69.715   158.670
243.216     69.968   158.308
246.754     70.220   157.940
250.343     70.473   157.564
253.984     70.727   157.181
257.678     70.981   156.791
261.426     71.236   156.393
265.229     71.491   155.986
269.087     71.746   155.571
273.001     72.002   155.148
276.972     72.258   154.716
281.000     72.515   154.275
285.088     72.772   153.825
289.234     73.030   153.365
293.441     73.287   152.895
297.709     73.546   152.416
302.040     73.804   151.926
306.433     74.063   151.425
310.890     74.322   150.913
315.412     74.582   150.390
320.000     74.841   149.855
324.655     75.102   149.308
329.377     75.362   148.749
334.168     75.622   148.177
339.028     75.883   147.592
343.959     76.144   146.994
348.962     76.405   146.381
354.038     76.666   145.754
359.188     76.928   145.113
364.412     77.189   144.457
369.713     77.450   143.784
375.090     77.711   143.096
380.546     77.973   142.392
386.081     78.234   141.670
391.697     78.495   140.931
397.394     78.755   140.174
403.175     79.015   139.399
409.039     79.275   138.605
414.989     79.535   137.791
421.025     79.794   136.958
427.149     80.052   136.104
433.362     80.309   135.229
439.665     80.566   134.333
446.060     80.822   133.416
452.548     81.077   132.476
459.131     81.330   131.513
465.809     81.583   130.527
472.584     81.834   129.518
479.458     82.083   128.484
486.432     82.331   127.427
493.507     82.577   126.345
500.686     82.820   125.238
507.968     83.062   124.106
515.357     83.301   122.948
522.853     83.538   121.766
530.458     83.771   120.558
538.174     84.002   119.325
546.002     84.230   118.067
553.943     84.454   116.784
562.001     84.674   115.476
570.175     84.891   114.145
578.469     85.104   112.789
586.883     85.312   111.411
595.419     85.516   110.011
604.080     85.715   108.589
612.866     85.909   107.147
621.780     86.098   105.686
630.824     86.282   104.207
640.000     86.460   102.711
649.309     86.632   101.201
658.753     86.799    99.677
668.335     86.959    98.141
678.056     87.113    96.595
687.919     87.261    95.040
697.925     87.403    93.480
708.077     87.538    91.915
718.376     87.667    90.348
728.825     87.790    88.780
739.426     87.906    87.214
750.181     88.015    85.652
761.093     88.118    84.096
772.163     88.215    82.547
783.394     88.306    81.007
794.789     88.390    79.479
806.349     88.469    77.964
818.078     88.542    76.463
829.977     88.609    74.978
842.050     88.670    73.511
854.298     88.727    72.062
866.724     88.778    70.634
879.330     88.825    69.226
892.120     88.867    67.841
905.097     88.905    66.478
918.262     88.938    65.138
931.618     88.967    63.823
945.169     88.993    62.532
958.917     89.015    61.265
972.864     89.034    60.024
987.015     89.050    58.808
1001.37     89.063    57.618
1015.94     89.073    56.452
1030.71     89.081    55.312
1045.71     89.086    54.198
1060.92     89.090    53.108
1076.35     89.091    52.042
1092.00     89.090    51.002
1107.89     89.088    49.985
1124.00     89.084    48.992
1140.35     89.079    48.022
1156.94     89.073    47.075
1173.77     89.065    46.151
1190.84     89.057    45.249
1208.16     89.047    44.368
1225.73     89.037    43.508
1243.56     89.026    42.669
1261.65     89.015    41.850
1280.00     89.002    41.051
1298.62     88.990    40.270
1317.51     88.977    39.508
1336.67     88.963    38.765
1356.11     88.949    38.039
1375.84     88.935    37.330
1395.85     88.921    36.638
1416.15     88.907    35.962
1436.75     88.892    35.302
1457.65     88.878    34.657
1478.85     88.863    34.027
1500.36     88.848    33.412
1522.19     88.834    32.811
1544.33     88.819    32.223
1566.79     88.805    31.649
1589.58     88.790    31.088
1612.70     88.776    30.539
1636.16     88.762    30.002
1659.95     88.748    29.477
1684.10     88.734    28.964
1708.60     88.720    28.462
1733.45     88.706    27.971
1758.66     88.693    27.490
1784.24     88.680    27.020
1810.19     88.667    26.560
1836.52     88.654    26.109
1863.24     88.641    25.668
1890.34     88.629    25.236
1917.83     88.617    24.813
1945.73     88.605    24.398
1974.03     88.593    23.992
2002.74     88.582    23.595
2031.87     88.571    23.205
2061.43     88.560    22.823
2091.41     88.549    22.449
2121.83     88.538    22.082
2152.69     88.528    21.722
2184.01     88.518    21.369
2215.77     88.508    21.023
2248.00     88.498    20.684
2280.70     88.488    20.351
2313.87     88.479    20.025
2347.53     88.470    19.705
2381.68     88.461    19.390
2416.32     88.453    19.082
2451.46     88.444    18.779
2487.12     88.436    18.482
2523.30     88.428    18.191
2560.00     88.420    17.904
2597.24     88.412    17.623
2635.01     88.405    17.347
2673.34     88.397    17.076
2712.23     88.390    16.810
2751.68     88.383    16.549
2791.70     88.377    16.292
2832.31     88.370    16.039
2873.50     88.364    15.792
2915.30     88.357    15.548
2957.70     88.351    15.309
3000.72     88.345    15.073
3044.37     88.339    14.842
3088.65     88.334    14.615
3133.58     88.328    14.392
3179.16     88.323    14.172
3225.40     88.318    13.956
3272.31     88.312    13.744
3319.91     88.307    13.536
3368.20     88.303    13.330
3417.19     88.298    13.129
3466.89     88.293    12.930
3517.32     88.289    12.735
3568.48     88.285    12.543
3620.39     88.280    12.355
3673.05     88.276    12.169
3726.47     88.272    11.986
3780.67     88.268    11.807
3835.67     88.264    11.630
3891.46     88.261    11.456
3948.06     88.257    11.285
4005.49     88.254    11.117
4063.75     88.250    10.951
4122.86     88.247    10.788
4182.82     88.244    10.628
4243.66     88.241    10.470
4305.39     88.238    10.314
4368.01     88.235    10.161
4431.55     88.232    10.011
4496.01     88.229     9.863
4561.40     88.226     9.717
4627.75     88.224     9.573
4695.06     88.221     9.432
4763.35     88.218     9.293
4832.64     88.216     9.156
4902.93     88.214     9.021
4974.24     88.211     8.888
5046.60     88.209     8.758
5120.00     88.207     8.629
5194.47     88.205     8.502
5270.03     88.203     8.378
5346.68     88.201     8.255
5424.45     88.199     8.134
5503.35     88.197     8.015
5583.40     88.195     7.897
5664.61     88.193     7.782
5747.01     88.192     7.668
5830.60     88.190     7.556
5915.41     88.188     7.446
6001.45     88.187     7.337
6088.74     88.185     7.230
6177.30     88.183     7.124
6267.15     88.182     7.021
6358.31     88.181     6.918
6450.80     88.179     6.818
6544.62     88.178     6.718
6639.82     88.177     6.621
6736.40     88.175     6.524
6834.38     88.174     6.429
6933.79     88.173     6.336
7034.64     88.172     6.244
7136.96     88.171     6.153
7240.77     88.169     6.064
7346.09     88.168     5.976
7452.94     88.167     5.889
7561.35     88.166     5.804
7671.33     88.165     5.720
7782.91     88.164     5.637
7896.12     88.163     5.555
8010.97     88.162     5.475
8127.49     88.162     5.395
8245.71     88.161     5.317
8365.65     88.160     5.240
8487.33     88.159     5.165
8610.78     88.158     5.090
8736.03     88.158     5.016
8863.09     88.157     4.944
8992.01     88.156     4.872
9122.80     88.155     4.802
9255.50     88.155     4.733
9390.12     88.154     4.664
9526.70     88.153     4.597
9665.27     88.153     4.531
9805.86     88.152     4.465
9948.49     88.152     4.401
10093.2     88.151     4.337
10240.0     88.150     4.275
10388.9     88.150     4.213
10540.1     88.149     4.152
10693.4     88.149     4.092
10848.9     88.148     4.033
11006.7     88.148     3.975
11166.8     88.147     3.918
11329.2     88.147     3.861
11494.0     88.146     3.806
11661.2     88.146     3.751
11830.8     88.146     3.697
12002.9     88.145     3.644
12177.5     88.145     3.591
12354.6     88.144     3.540
12534.3     88.144     3.489
12716.6     88.144     3.438
12901.6     88.143     3.389
13089.2     88.143     3.340
13279.6     88.143     3.292
13472.8     88.142     3.245
13668.8     88.142     3.198
13867.6     88.142     3.152
14069.3     88.141     3.107
14273.9     88.141     3.062
14481.5     88.141     3.018
14692.2     88.141     2.975
14905.9     88.140     2.932
15122.7     88.140     2.890
15342.7     88.140     2.848
15565.8     88.140     2.807
15792.2     88.139     2.767
16021.9     88.139     2.727
16255.0     88.139     2.688
16491.4     88.139     2.649
16731.3     88.138     2.611
16974.7     88.138     2.574
17221.6     88.138     2.537
17472.1     88.138     2.500
17726.2     88.138     2.464
17984.0     88.138     2.429
18245.6     88.137     2.394
18511.0     88.137     2.360
18780.2     88.137     2.326
19053.4     88.137     2.292
19330.5     88.137     2.259
19611.7     88.137     2.227
19897.0     88.136     2.195
20186.4     88.136     2.163
20480.0     88.136     2.132
20777.9     88.136     2.102
21080.1     88.136     2.072
21386.7     88.136     2.042
21697.8     88.136     2.012
22013.4     88.135     1.984
22333.6     88.135     1.955
22658.4     88.135     1.927
22988.0     88.135     1.899
23322.4     88.135     1.872
23661.6     88.135     1.845
24005.8     88.135     1.819
24355.0     88.135     1.793
24709.2     88.135     1.767
25068.6     88.135     1.742
25433.2     88.134     1.717
25803.2     88.134     1.692
26178.5     88.134     1.668
26559.3     88.134     1.644
26945.6     88.134     1.620
27337.5     88.134     1.597
27735.2     88.134     1.574
28138.6     88.134     1.551
28547.9     88.134     1.529
28963.1     88.134     1.507
29384.4     88.134     1.486
29811.8     88.134     1.464
30245.4     88.134     1.443
