Freq[Hz]  Imp[Ohm]  Phase[Deg]
177.019      0.195     9.346
179.594      0.196     9.455
182.206      0.196     9.564
184.856      0.196     9.674
187.545      0.196     9.783
190.273      0.197     9.893
193.041      0.197    10.003
195.849      0.197    10.115
198.697      0.198    10.230
201.587      0.198    10.351
204.520      0.199    10.470
207.494      0.199    10.569
210.512      0.199    10.646
213.574      0.200    10.705
216.681      0.200    10.752
219.833      0.200    10.811
223.030      0.200    10.900
226.274      0.200    11.030
229.565      0.200    11.204
232.905      0.201    11.420
236.292      0.201    11.658
239.729      0.202    11.874
243.216      0.203    12.039
246.754      0.203    12.147
250.343      0.204    12.209
253.984      0.204    12.261
257.678      0.205    12.352
261.426      0.205    12.501
265.229      0.205    12.693
269.087      0.206    12.883
273.001      0.207    13.037
276.972      0.208    13.145
281.000      0.208    13.214
285.088      0.209    13.279
289.234      0.209    13.381
293.441      0.209    13.534
297.709      0.210    13.719
302.040      0.211    13.900
306.433      0.212    14.046
310.890      0.212    14.160
315.412      0.213    14.264
320.000      0.214    14.385
324.655      0.214    14.543
329.377      0.215    14.711
334.168      0.216    14.860
339.028      0.217    14.993
343.959      0.217    15.110
348.962      0.218    15.242
354.038      0.219    15.400
359.188      0.220    15.556
364.412      0.221    15.708
369.713      0.222    15.852
375.090      0.223    15.976
380.546      0.224    16.095
386.081      0.225    16.217
391.697      0.226    16.343
397.394      0.227    16.466
403.175      0.228    16.577
409.039      0.230    16.683
414.989      0.231    16.796
421.025      0.232    16.902
427.149      0.233    16.986
433.362      0.235    17.062
439.665      0.236    17.150
446.060      0.237    17.244
452.548      0.239    17.336
459.131      0.240    17.435
465.809      0.241    17.544
472.584      0.243    17.642
479.458      0.244    17.718
486.432      0.246    17.801
493.507      0.248    17.889
500.686      0.249    17.955
507.968      0.251    18.032
515.357      0.253    18.113
522.853      0.255    18.167
530.458      0.257    18.224
538.174      0.259    18.275
546.002      0.261    18.307
553.943      0.263    18.331
562.001      0.266    18.333
570.175      0.268    18.311
578.469      0.271    18.258
586.883      0.273    18.185
595.419      0.275    18.109
604.080      0.278    18.031
612.866      0.280    17.970
621.780      0.283    17.898
630.824      0.286    17.797
640.000      0.289    17.675
649.309      0.292    17.517
658.753      0.295    17.323
668.335      0.299    17.106
678.056      0.302    16.870
687.919      0.305    16.609
697.925      0.309    16.321
708.077      0.312    16.013
718.376      0.316    15.671
728.825      0.319    15.281
739.426      0.323    14.857
750.181      0.327    14.400
761.093      0.330    13.907
772.163      0.334    13.393
783.394      0.338    12.850
794.789      0.341    12.259
806.349      0.345    11.613
818.078      0.349    10.924
829.977      0.353    10.189
842.050      0.356     9.400
854.298      0.359     8.568
866.724      0.363     7.682
879.330      0.366     6.748
892.120      0.368     5.783
905.097      0.371     4.772
918.262      0.373     3.716
931.618      0.375     2.633
945.169      0.376     1.516
958.917      0.377     0.381
972.864      0.377    -0.752
987.015      0.377    -1.886
1001.37      0.377    -3.040
1015.94      0.377    -4.235
1030.71      0.376    -5.483
1045.71      0.374    -6.765
1060.92      0.371    -8.051
1076.35      0.368    -9.295
1092.00      0.364   -10.455
1107.89      0.359   -11.534
1124.00      0.354   -12.549
1140.35      0.350   -13.514
1156.94      0.344   -14.440
1173.77      0.339   -15.326
1190.84      0.333   -16.139
1208.16      0.327   -16.839
1225.73      0.321   -17.421
1243.56      0.315   -17.899
1261.65      0.309   -18.308
1280.00      0.304   -18.674
1298.62      0.298   -18.996
1317.51      0.293   -19.293
1336.67      0.288   -19.536
1356.11      0.282   -19.699
1375.84      0.277   -19.764
1395.85      0.272   -19.724
1416.15      0.267   -19.619
1436.75      0.263   -19.462
1457.65      0.259   -19.276
1478.85      0.256   -19.111
1500.36      0.252   -18.952
1522.19      0.249   -18.761
1544.33      0.246   -18.540
1566.79      0.243   -18.288
1589.58      0.240   -18.007
1612.70      0.237   -17.704
1636.16      0.234   -17.384
1659.95      0.232   -17.051
1684.10      0.229   -16.690
1708.60      0.227   -16.303
1733.45      0.225   -15.906
1758.66      0.223   -15.502
1784.24      0.221   -15.108
1810.19      0.220   -14.726
1836.52      0.218   -14.347
1863.24      0.217   -13.996
1890.34      0.216   -13.656
1917.83      0.214   -13.296
1945.73      0.213   -12.941
1974.03      0.212   -12.589
2002.74      0.210   -12.211
2031.87      0.209   -11.826
2061.43      0.208   -11.449
2091.41      0.207   -11.067
2121.83      0.206   -10.663
2152.69      0.205   -10.236
2184.01      0.204    -9.797
2215.77      0.203    -9.354
2248.00      0.203    -8.933
2280.70      0.202    -8.566
2313.87      0.202    -8.244
2347.53      0.201    -7.928
