Freq[Hz]     dBSPL  Phase[Deg]
5.00000     54.475   161.945
5.07273     54.591   161.832
5.14651     54.742   161.683
5.22137     54.945   161.483
5.29732     55.168   161.271
5.37437     55.413   161.036
5.45254     55.659   160.803
5.53185     55.905   160.567
5.61231     56.151   160.328
5.69394     56.397   160.084
5.77676     56.642   159.838
5.86079     56.889   159.589
5.94604     57.135   159.335
6.03252     57.381   159.079
6.12027     57.626   158.818
6.20929     57.872   158.553
6.29961     58.118   158.284
6.39124     58.364   158.010
6.48420     58.609   157.733
6.57851     58.855   157.451
6.67420     59.101   157.165
6.77128     59.348   156.875
6.86977     59.593   156.580
6.96969     59.839   156.280
7.07107     60.085   155.976
7.17392     60.331   155.667
7.27827     60.576   155.351
7.38413     60.822   155.032
7.49154     61.069   154.707
7.60050     61.315   154.378
7.71105     61.561   154.042
7.82321     61.806   153.702
7.93701     62.052   153.356
8.05245     62.298   153.003
8.16958     62.544   152.645
8.28841     62.790   152.281
8.40896     63.036   151.911
8.53128     63.282   151.535
8.65537     63.528   151.153
8.78126     63.773   150.764
8.90899     64.020   150.369
9.03857     64.266   149.968
9.17004     64.512   149.559
9.30342     64.757   149.145
9.43874     65.003   148.726
9.57603     65.250   148.301
9.71532     65.496   147.873
9.85663     65.741   147.443
10.0000     65.989   147.014
10.1455     66.238   146.587
10.2930     66.493   146.157
10.4427     66.752   145.705
10.5946     67.015   145.227
10.7487     67.287   144.691
10.9051     67.551   144.091
11.0637     67.811   143.456
11.2246     68.070   142.786
11.3879     68.320   142.098
11.5535     68.571   141.408
11.7216     68.824   140.701
11.8921     69.084   139.942
12.0650     69.343   139.079
12.2405     69.583   138.128
12.4186     69.801   137.142
12.5992     69.996   136.181
12.7825     70.175   135.313
12.9684     70.350   134.562
13.1570     70.529   133.921
13.3484     70.724   133.332
13.5426     70.925   132.762
13.7395     71.136   132.206
13.9394     71.362   131.621
14.1421     71.593   130.982
14.3478     71.832   130.269
14.5565     72.067   129.453
14.7683     72.289   128.553
14.9831     72.492   127.631
15.2010     72.679   126.750
15.4221     72.864   125.931
15.6464     73.046   125.179
15.8740     73.243   124.478
16.1049     73.456   123.761
16.3392     73.684   122.952
16.5768     73.910   121.996
16.8179     74.115   120.927
17.0626     74.295   119.809
17.3107     74.447   118.716
17.5625     74.573   117.768
17.8180     74.705   117.001
18.0771     74.857   116.348
18.3401     75.033   115.725
18.6068     75.233   115.042
18.8775     75.444   114.231
19.1521     75.652   113.271
19.4306     75.845   112.193
19.7133     76.020   111.055
20.0000     76.182   109.871
20.2909     76.321   108.659
20.5860     76.437   107.486
20.8855     76.542   106.362
21.1893     76.626   105.296
21.4975     76.692   104.361
21.8102     76.756   103.578
22.1274     76.824   102.919
22.4492     76.894   102.381
22.7758     76.978   101.952
23.1071     77.075   101.614
23.4432     77.192   101.357
23.7841     77.343   101.114
24.1301     77.523   100.795
24.4811     77.724   100.317
24.8372     77.924    99.645
25.1984     78.110    98.811
25.5649     78.268    97.893
25.9368     78.402    97.000
26.3141     78.537    96.156
26.6968     78.663    95.335
27.0851     78.789    94.547
27.4791     78.919    93.753
27.8788     79.040    92.959
28.2843     79.165    92.163
28.6957     79.283    91.345
29.1131     79.387    90.555
29.5365     79.491    89.810
29.9661     79.594    89.101
30.4020     79.698    88.434
30.8442     79.808    87.788
31.2929     79.925    87.123
31.7480     80.034    86.450
32.2098     80.141    85.814
32.6783     80.260    85.188
33.1536     80.376    84.565
33.6359     80.506    83.927
34.1251     80.639    83.216
34.6215     80.759    82.479
35.1250     80.888    81.718
35.6359     81.008    80.907
36.1543     81.121    80.085
36.6802     81.238    79.218
37.2137     81.332    78.329
37.7550     81.419    77.476
38.3041     81.500    76.651
38.8613     81.568    75.902
39.4265     81.651    75.220
40.0000     81.746    74.518
40.5818     81.839    73.772
41.1721     81.927    72.991
41.7710     82.005    72.188
42.3785     82.068    71.419
42.9949     82.127    70.730
43.6203     82.193    70.100
44.2548     82.269    69.488
44.8985     82.355    68.837
45.5515     82.435    68.132
46.2141     82.507    67.413
46.8863     82.576    66.688
47.5683     82.630    65.985
48.2602     82.685    65.327
48.9621     82.736    64.710
49.6743     82.791    64.130
50.3968     82.851    63.565
51.1299     82.912    63.012
51.8736     82.981    62.445
52.6281     83.049    61.824
53.3936     83.094    61.224
54.1702     83.146    60.698
54.9581     83.209    60.176
55.7575     83.268    59.644
56.5685     83.331    59.117
57.3914     83.400    58.548
58.2261     83.454    57.963
59.0730     83.506    57.410
59.9323     83.559    56.873
60.8040     83.611    56.356
61.6884     83.669    55.844
62.5857     83.728    55.310
63.4960     83.785    54.756
64.4196     83.838    54.187
65.3566     83.888    53.602
66.3073     83.929    53.007
67.2717     83.957    52.443
68.2502     83.975    51.962
69.2429     83.997    51.578
70.2501     84.029    51.277
71.2719     84.086    50.989
72.3086     84.157    50.625
73.3603     84.228    50.168
74.4274     84.298    49.616
75.5099     84.348    48.997
76.6083     84.376    48.394
77.7226     84.397    47.854
78.8531     84.410    47.380
80.0000     84.424    46.967
81.1636     84.439    46.600
82.3442     84.453    46.275
83.5419     84.468    45.994
84.7570     84.484    45.760
85.9899     84.500    45.594
87.2406     84.523    45.498
88.5096     84.557    45.474
89.7970     84.618    45.475
91.1031     84.699    45.420
92.4282     84.788    45.286
93.7726     84.890    45.052
95.1366     84.989    44.699
96.5204     85.072    44.287
97.9243     85.158    43.848
99.3486     85.241    43.353
100.794     85.318    42.800
102.260     85.385    42.204
103.747     85.441    41.576
105.256     85.482    40.938
106.787     85.511    40.328
108.340     85.531    39.757
109.916     85.541    39.240
111.515     85.545    38.795
113.137     85.549    38.419
114.783     85.555    38.109
116.452     85.566    37.857
118.146     85.587    37.636
119.865     85.614    37.427
121.608     85.647    37.223
123.377     85.689    37.009
125.171     85.738    36.757
126.992     85.787    36.461
128.839     85.837    36.119
130.713     85.881    35.729
132.615     85.915    35.319
134.543     85.944    34.902
136.500     85.963    34.489
138.486     85.973    34.109
140.500     85.978    33.769
142.544     85.971    33.499
144.617     85.966    33.334
146.721     85.974    33.230
148.855     85.988    33.160
151.020     86.015    33.108
153.217     86.055    33.021
155.445     86.094    32.896
157.706     86.135    32.745
160.000     86.173    32.575
