Freq[Hz]  Imp[Ohm]  Phase[Deg]
153.217      6.972    -8.633
155.445      6.972    -8.170
157.706      6.972    -7.717
160.000      6.972    -7.271
162.327      6.972    -6.832
164.688      6.972    -6.398
167.084      6.972    -5.968
169.514      6.972    -5.543
171.980      6.972    -5.120
174.481      6.972    -4.700
177.019      6.972    -4.282
179.594      6.972    -3.865
182.206      6.972    -3.448
184.856      6.972    -3.031
187.545      6.972    -2.612
190.273      6.972    -2.191
193.041      6.972    -1.766
195.849      6.972    -1.334
198.697      6.972    -0.889
201.587      6.973    -0.430
204.520      6.977     0.045
207.494      6.987     0.522
210.512      7.002     0.974
213.574      7.018     1.392
216.681      7.034     1.775
219.833      7.047     2.131
223.030      7.053     2.487
226.274      7.055     2.874
229.565      7.059     3.300
232.905      7.066     3.763
236.292      7.083     4.232
239.729      7.107     4.660
243.216      7.132     5.040
246.754      7.156     5.373
250.343      7.174     5.677
253.984      7.183     5.999
257.678      7.192     6.366
261.426      7.208     6.758
265.229      7.231     7.131
269.087      7.256     7.463
273.001      7.281     7.749
276.972      7.300     7.997
281.000      7.309     8.246
285.088      7.314     8.532
289.234      7.317     8.862
293.441      7.324     9.229
297.709      7.338     9.604
302.040      7.355     9.963
306.433      7.371    10.302
310.890      7.387    10.627
315.412      7.398    10.954
320.000      7.407    11.308
324.655      7.421    11.685
329.377      7.438    12.057
334.168      7.455    12.420
339.028      7.473    12.773
343.959      7.487    13.123
348.962      7.499    13.499
354.038      7.512    13.907
359.188      7.528    14.346
364.412      7.555    14.790
369.713      7.587    15.200
375.090      7.618    15.583
380.546      7.650    15.950
386.081      7.681    16.301
391.697      7.709    16.657
397.394      7.739    17.034
403.175      7.778    17.407
409.039      7.824    17.728
414.989      7.866    17.995
421.025      7.906    18.222
427.149      7.937    18.415
433.362      7.957    18.615
439.665      7.971    18.858
446.060      7.982    19.154
452.548      7.994    19.503
459.131      8.012    19.892
465.809      8.038    20.295
472.584      8.068    20.688
479.458      8.100    21.071
486.432      8.135    21.443
493.507      8.169    21.806
500.686      8.199    22.188
507.968      8.237    22.590
515.357      8.281    22.984
522.853      8.328    23.363
530.458      8.382    23.705
538.174      8.430    24.024
546.002      8.482    24.333
553.943      8.536    24.601
562.001      8.580    24.863
570.175      8.631    25.125
578.469      8.679    25.352
586.883      8.718    25.580
595.419      8.758    25.820
604.080      8.794    26.069
612.866      8.827    26.345
621.780      8.864    26.642
630.824      8.901    26.954
640.000      8.941    27.276
649.309      8.982    27.615
658.753      9.031    27.956
668.335      9.083    28.278
678.056      9.136    28.588
687.919      9.194    28.870
697.925      9.245    29.128
708.077      9.293    29.388
718.376      9.337    29.660
728.825      9.378    29.966
739.426      9.425    30.306
750.181      9.480    30.650
761.093      9.538    30.990
772.163      9.605    31.309
783.394      9.674    31.581
794.789      9.735    31.825
806.349      9.790    32.072
818.078      9.842    32.334
829.977      9.887    32.645
842.050      9.946    32.996
854.298     10.014    33.341
866.724     10.084    33.676
879.330     10.166    33.981
892.120     10.246    34.238
905.097     10.318    34.483
918.262     10.392    34.729
931.618     10.463    34.977
945.169     10.536    35.240
958.917     10.614    35.504
972.864     10.699    35.749
987.015     10.789    35.954
1001.37     10.871    36.125
1015.94     10.952    36.273
1030.71     11.023    36.405
1045.71     11.085    36.555
1060.92     11.145    36.726
1076.35     11.199    36.924
1092.00     11.255    37.153
1107.89     11.309    37.410
1124.00     11.364    37.706
1140.35     11.429    38.028
1156.94     11.498    38.364
1173.77     11.580    38.696
1190.84     11.662    39.010
1208.16     11.746    39.319
1225.73     11.832    39.624
1243.56     11.917    39.938
1261.65     12.009    40.266
1280.00     12.110    40.590
1298.62     12.221    40.884
1317.51     12.331    41.135
1336.67     12.432    41.374
1356.11     12.535    41.616
1375.84     12.633    41.866
1395.85     12.736    42.133
1416.15     12.845    42.400
1436.75     12.960    42.645
1457.65     13.072    42.863
1478.85     13.173    43.084
1500.36     13.270    43.337
1522.19     13.371    43.614
1544.33     13.468    43.926
1566.79     13.573    44.289
1589.58     13.694    44.676
1612.70     13.826    45.078
1636.16     13.977    45.488
1659.95     14.151    45.872
1684.10     14.343    46.193
1708.60     14.538    46.445
1733.45     14.731    46.639
1758.66     14.913    46.795
1784.24     15.074    46.970
1810.19     15.233    47.206
1836.52     15.398    47.517
1863.24     15.587    47.907
1890.34     15.818    48.344
1917.83     16.102    48.776
1945.73     16.435    49.173
1974.03     16.851    49.474
