Freq[Hz]     dBSPL  Phase[Deg]
146.721     86.675    28.479
148.855     86.642    27.997
151.020     86.610    27.526
153.217     86.579    27.065
155.445     86.549    26.614
157.706     86.520    26.172
160.000     86.491    25.739
162.327     86.464    25.316
164.688     86.437    24.901
167.084     86.411    24.495
169.514     86.386    24.096
171.980     86.361    23.706
174.481     86.337    23.323
177.019     86.314    22.948
179.594     86.292    22.580
182.206     86.270    22.219
184.856     86.249    21.866
187.545     86.228    21.518
190.273     86.208    21.178
193.041     86.189    20.843
195.849     86.170    20.515
198.697     86.152    20.193
201.587     86.134    19.877
204.520     86.117    19.567
207.494     86.100    19.262
210.512     86.084    18.963
213.574     86.068    18.669
216.681     86.053    18.380
219.833     86.038    18.097
223.030     86.024    17.818
226.274     86.010    17.544
229.565     85.996    17.275
232.905     85.983    17.011
236.292     85.970    16.751
239.729     85.958    16.496
243.216     85.946    16.245
246.754     85.934    15.998
250.343     85.923    15.755
253.984     85.912    15.517
257.678     85.901    15.282
261.426     85.890    15.051
265.229     85.880    14.825
269.087     85.870    14.601
273.001     85.861    14.382
276.972     85.852    14.166
281.000     85.843    13.954
285.088     85.834    13.745
289.234     85.825    13.539
293.441     85.817    13.337
297.709     85.809    13.138
302.040     85.801    12.943
306.433     85.794    12.750
310.890     85.786    12.560
315.412     85.779    12.374
320.000     85.772    12.190
324.655     85.766    12.010
329.377     85.759    11.832
334.168     85.753    11.657
339.028     85.747    11.485
343.959     85.741    11.315
348.962     85.735    11.148
354.038     85.729    10.984
359.188     85.724    10.822
364.412     85.718    10.663
369.713     85.713    10.506
375.090     85.708    10.351
380.546     85.703    10.199
386.081     85.699    10.050
391.697     85.694     9.902
397.394     85.690     9.757
403.175     85.685     9.614
409.039     85.681     9.474
414.989     85.677     9.335
421.025     85.673     9.199
427.149     85.669     9.064
433.362     85.665     8.932
439.665     85.662     8.801
446.060     85.658     8.673
452.548     85.655     8.547
459.131     85.651     8.422
465.809     85.648     8.299
472.584     85.645     8.178
479.458     85.642     8.059
486.432     85.639     7.942
493.507     85.636     7.827
500.686     85.633     7.713
507.968     85.630     7.601
515.357     85.628     7.490
522.853     85.625     7.382
530.458     85.623     7.274
538.174     85.620     7.169
546.002     85.618     7.065
553.943     85.616     6.963
562.001     85.613     6.862
570.175     85.611     6.762
578.469     85.609     6.664
586.883     85.607     6.568
595.419     85.605     6.473
604.080     85.603     6.379
612.866     85.601     6.287
621.780     85.600     6.196
630.824     85.598     6.106
640.000     85.596     6.018
649.309     85.594     5.931
658.753     85.593     5.845
668.335     85.591     5.761
678.056     85.590     5.677
687.919     85.588     5.595
697.925     85.587     5.515
708.077     85.585     5.435
718.376     85.584     5.357
728.825     85.583     5.279
739.426     85.581     5.203
750.181     85.580     5.128
761.093     85.579     5.054
772.163     85.578     4.981
783.394     85.577     4.909
794.789     85.576     4.839
806.349     85.574     4.769
818.078     85.573     4.700
829.977     85.572     4.632
842.050     85.571     4.566
854.298     85.570     4.500
866.724     85.569     4.435
879.330     85.569     4.371
892.120     85.568     4.308
905.097     85.567     4.246
918.262     85.566     4.185
931.618     85.565     4.125
945.169     85.564     4.066
958.917     85.564     4.007
972.864     85.563     3.949
987.015     85.562     3.893
1001.37     85.562     3.837
1015.94     85.561     3.781
1030.71     85.560     3.727
1045.71     85.560     3.673
1060.92     85.559     3.621
1076.35     85.558     3.569
1092.00     85.558     3.517
1107.89     85.557     3.467
1124.00     85.557     3.417
1140.35     85.556     3.368
1156.94     85.556     3.319
1173.77     85.555     3.272
1190.84     85.555     3.225
1208.16     85.554     3.178
1225.73     85.554     3.133
1243.56     85.553     3.088
1261.65     85.553     3.043
1280.00     85.552     2.999
1298.62     85.552     2.956
1317.51     85.551     2.914
1336.67     85.551     2.872
1356.11     85.551     2.831
1375.84     85.550     2.790
1395.85     85.550     2.750
1416.15     85.550     2.711
1436.75     85.549     2.672
1457.65     85.549     2.633
1478.85     85.549     2.595
1500.36     85.548     2.558
1522.19     85.548     2.521
1544.33     85.548     2.485
1566.79     85.547     2.450
1589.58     85.547     2.414
1612.70     85.547     2.380
1636.16     85.547     2.346
1659.95     85.546     2.312
1684.10     85.546     2.279
1708.60     85.546     2.246
1733.45     85.546     2.214
1758.66     85.545     2.182
1784.24     85.545     2.151
1810.19     85.545     2.120
1836.52     85.545     2.089
1863.24     85.545     2.059
1890.34     85.544     2.030
1917.83     85.544     2.001
1945.73     85.544     1.972
