Freq[Hz]     dBSPL  Phase[Deg]
5.00000     14.430   144.719
5.07273     14.525   144.701
5.14651     14.649   144.680
5.22137     14.815   144.657
5.29732     14.998   144.643
5.37437     15.200   144.629
5.45254     15.402   144.620
5.53185     15.604   144.611
5.61231     15.806   144.603
5.69394     16.008   144.594
5.77676     16.210   144.586
5.86079     16.413   144.578
5.94604     16.615   144.571
6.03252     16.817   144.563
6.12027     17.019   144.555
6.20929     17.221   144.548
6.29961     17.423   144.540
6.39124     17.625   144.533
6.48420     17.827   144.525
6.57851     18.029   144.518
6.67420     18.231   144.511
6.77128     18.433   144.503
6.86977     18.635   144.496
6.96969     18.837   144.489
7.07107     19.039   144.482
7.17392     19.241   144.474
7.27827     19.443   144.467
7.38413     19.645   144.459
7.49154     19.847   144.452
7.60050     20.049   144.445
7.71105     20.251   144.438
7.82321     20.453   144.431
7.93701     20.655   144.423
8.05245     20.857   144.416
8.16958     21.059   144.408
8.28841     21.261   144.401
8.40896     21.463   144.393
8.53128     21.665   144.386
8.65537     21.867   144.378
8.78126     22.069   144.370
8.90899     22.271   144.362
9.03857     22.473   144.355
9.17004     22.675   144.347
9.30342     22.877   144.339
9.43874     23.079   144.331
9.57603     23.281   144.323
9.71532     23.483   144.315
9.85663     23.685   144.307
10.0000     23.887   144.299
10.1455     24.089   144.291
10.2930     24.291   144.282
10.4427     24.493   144.274
10.5946     24.695   144.265
10.7487     24.897   144.257
10.9051     25.099   144.248
11.0637     25.301   144.239
11.2246     25.503   144.231
11.3879     25.705   144.222
11.5535     25.907   144.213
11.7216     26.109   144.204
11.8921     26.311   144.195
12.0650     26.513   144.186
12.2405     26.715   144.176
12.4186     26.918   144.167
12.5992     27.120   144.157
12.7825     27.322   144.148
12.9684     27.524   144.138
13.1570     27.726   144.128
13.3484     27.928   144.119
13.5426     28.130   144.109
13.7395     28.332   144.099
13.9394     28.534   144.088
14.1421     28.736   144.078
14.3478     28.938   144.068
14.5565     29.140   144.057
14.7683     29.342   144.046
14.9831     29.544   144.035
15.2010     29.746   144.024
15.4221     29.948   144.013
15.6464     30.150   144.002
15.8740     30.352   143.990
16.1049     30.554   143.979
16.3392     30.756   143.967
16.5768     30.958   143.955
16.8179     31.160   143.943
17.0626     31.362   143.931
17.3107     31.564   143.919
17.5625     31.766   143.907
17.8180     31.968   143.894
18.0771     32.170   143.881
18.3401     32.372   143.868
18.6068     32.574   143.855
18.8775     32.776   143.842
19.1521     32.978   143.829
19.4306     33.180   143.815
19.7133     33.382   143.801
20.0000     33.584   143.787
20.2909     33.786   143.773
20.5860     33.988   143.759
20.8855     34.190   143.745
21.1893     34.392   143.730
21.4975     34.594   143.715
21.8102     34.796   143.700
22.1274     34.998   143.685
22.4492     35.200   143.670
22.7758     35.402   143.654
23.1071     35.604   143.638
23.4432     35.806   143.622
23.7841     36.008   143.606
24.1301     36.210   143.589
24.4811     36.412   143.572
24.8372     36.614   143.556
25.1984     36.816   143.538
25.5649     37.018   143.521
25.9368     37.220   143.504
26.3141     37.423   143.486
26.6968     37.625   143.468
27.0851     37.827   143.449
27.4791     38.029   143.431
27.8788     38.231   143.412
28.2843     38.433   143.393
28.6957     38.635   143.374
29.1131     38.837   143.354
29.5365     39.039   143.334
29.9661     39.241   143.314
30.4020     39.443   143.294
30.8442     39.645   143.273
31.2929     39.847   143.252
31.7480     40.049   143.231
32.2098     40.251   143.209
32.6783     40.453   143.187
33.1536     40.655   143.165
33.6359     40.857   143.143
34.1251     41.059   143.120
34.6215     41.261   143.097
35.1250     41.463   143.073
35.6359     41.665   143.050
36.1543     41.867   143.026
36.6802     42.069   143.001
37.2137     42.271   142.977
37.7550     42.473   142.951
38.3041     42.675   142.926
38.8613     42.877   142.900
39.4265     43.079   142.874
40.0000     43.281   142.848
40.5818     43.483   142.821
41.1721     43.685   142.794
41.7710     43.887   142.766
42.3785     44.089   142.738
42.9949     44.291   142.710
43.6203     44.493   142.681
44.2548     44.695   142.652
44.8985     44.897   142.622
45.5515     45.099   142.592
46.2141     45.301   142.562
46.8863     45.503   142.531
47.5683     45.705   142.500
48.2602     45.907   142.468
48.9621     46.109   142.436
49.6743     46.311   142.404
50.3968     46.513   142.371
51.1299     46.715   142.337
51.8736     46.917   142.303
52.6281     47.119   142.269
53.3936     47.321   142.234
54.1702     47.523   142.199
54.9581     47.725   142.163
55.7575     47.928   142.127
