Freq[Hz]     dBSPL  Phase[Deg]
177.019     63.077   160.002
179.594     63.321   159.788
182.206     63.565   159.572
184.856     63.810   159.353
187.545     64.054   159.132
190.273     64.298   158.907
193.041     64.542   158.680
195.849     64.787   158.450
198.697     65.031   158.215
201.587     65.276   157.976
204.520     65.521   157.723
207.494     65.763   157.463
210.512     66.004   157.194
213.574     66.236   156.928
216.681     66.460   156.710
219.833     66.691   156.540
223.030     66.919   156.413
226.274     67.152   156.362
229.565     67.408   156.338
232.905     67.673   156.277
236.292     67.940   156.193
239.729     68.211   156.092
243.216     68.481   155.997
246.754     68.750   155.994
250.343     69.067   156.040
253.984     69.424   155.965
257.678     69.798   155.693
261.426     70.192   155.126
265.229     70.566   154.193
269.087     70.884   153.026
273.001     71.154   151.801
276.972     71.381   150.640
281.000     71.585   149.621
285.088     71.776   148.770
289.234     71.977   148.064
293.441     72.197   147.408
297.709     72.425   146.726
302.040     72.656   145.973
306.433     72.874   145.140
310.890     73.066   144.292
315.412     73.236   143.522
320.000     73.394   142.888
324.655     73.555   142.411
329.377     73.731   142.066
334.168     73.933   141.785
339.028     74.159   141.489
343.959     74.409   141.093
348.962     74.660   140.555
354.038     74.901   139.905
359.188     75.131   139.169
364.412     75.343   138.387
369.713     75.534   137.626
375.090     75.715   136.931
380.546     75.895   136.294
386.081     76.073   135.704
391.697     76.251   135.161
397.394     76.433   134.653
403.175     76.615   134.174
409.039     76.804   133.721
414.989     76.999   133.284
421.025     77.208   132.827
427.149     77.423   132.293
433.362     77.633   131.671
439.665     77.830   130.976
446.060     78.002   130.254
452.548     78.149   129.603
459.131     78.285   129.090
465.809     78.420   128.736
472.584     78.574   128.502
479.458     78.741   128.330
486.432     78.922   128.197
493.507     79.120   128.062
500.686     79.324   127.915
507.968     79.534   127.789
515.357     79.763   127.677
522.853     80.013   127.523
530.458     80.283   127.253
538.174     80.551   126.845
546.002     80.811   126.320
553.943     81.055   125.722
562.001     81.280   125.137
570.175     81.503   124.615
578.469     81.733   124.142
586.883     81.975   123.674
595.419     82.221   123.187
604.080     82.474   122.684
612.866     82.737   122.158
621.780     83.014   121.584
630.824     83.309   120.903
640.000     83.606   120.056
649.309     83.891   119.050
658.753     84.159   117.916
668.335     84.400   116.726
678.056     84.623   115.551
687.919     84.838   114.409
697.925     85.049   113.296
708.077     85.260   112.191
718.376     85.470   111.076
728.825     85.681   109.938
739.426     85.892   108.761
750.181     86.103   107.525
761.093     86.311   106.202
772.163     86.510   104.768
783.394     86.687   103.221
794.789     86.829   101.608
806.349     86.930   100.018
818.078     86.993    98.544
829.977     87.023    97.281
842.050     87.037    96.287
854.298     87.049    95.583
866.724     87.074    95.160
879.330     87.114    95.046
892.120     87.220    95.180
905.097     87.385    95.443
918.262     87.657    95.629
931.618     87.998    95.414
945.169     88.340    94.726
958.917     88.676    93.599
972.864     88.959    92.150
987.015     89.210    90.581
1001.37     89.465    88.846
1015.94     89.671    86.928
1030.71     89.854    84.845
1045.71     89.971    82.583
1060.92     89.987    80.406
1076.35     89.933    78.611
1092.00     89.853    77.315
1107.89     89.786    76.473
1124.00     89.731    76.073
1140.35     89.743    76.094
1156.94     89.882    76.199
1173.77     90.102    76.024
1190.84     90.362    75.426
1208.16     90.643    74.211
1225.73     90.830    72.437
1243.56     90.880    70.632
1261.65     90.851    69.253
1280.00     90.799    68.474
1298.62     90.792    68.264
1317.51     90.894    68.336
1336.67     91.100    68.308
1356.11     91.373    67.911
1375.84     91.662    67.069
1395.85     91.947    65.822
1416.15     92.219    64.189
1436.75     92.450    62.211
1457.65     92.641    59.911
1478.85     92.732    57.434
1500.36     92.724    55.117
1522.19     92.668    53.120
1544.33     92.559    51.550
1566.79     92.451    50.500
1589.58     92.405    49.785
1612.70     92.394    49.232
1636.16     92.438    48.762
1659.95     92.532    48.243
1684.10     92.677    47.540
1708.60     92.858    46.469
1733.45     93.016    44.965
1758.66     93.106    43.199
1784.24     93.134    41.394
1810.19     93.087    39.814
1836.52     93.045    38.543
1863.24     93.006    37.467
1890.34     92.973    36.593
1917.83     92.988    35.805
1945.73     93.022    34.941
1974.03     93.051    34.028
2002.74     93.074    33.171
2031.87     93.115    32.441
2061.43     93.240    31.590
2091.41     93.373    30.399
2121.83     93.517    28.837
2152.69     93.654    26.678
2184.01     93.669    23.987
2215.77     93.505    21.329
2248.00     93.199    19.284
2280.70     92.791    18.300
2313.87     92.414    18.496
2347.53     92.153    19.646
2381.68     92.142    21.152
2416.32     92.338    22.197
2451.46     92.628    22.351
2487.12     92.933    21.426
2523.30     93.108    19.634
2560.00     93.116    17.674
2597.24     93.027    16.056
2635.01     92.882    15.020
2673.34     92.785    14.531
2712.23     92.789    14.175
2751.68     92.864    13.530
2791.70     92.940    12.406
2832.31     92.942    10.953
2873.50     92.853     9.497
2915.30     92.659     8.473
2957.70     92.464     8.107
3000.72     92.329     8.201
3044.37     92.266     8.537
3088.65     92.300     8.868
3133.58     92.402     8.937
3179.16     92.532     8.698
3225.40     92.714     7.998
3272.31     92.855     6.765
3319.91     92.950     5.089
3368.20     92.916     3.218
3417.19     92.754     1.693
3466.89     92.550     0.756
3517.32     92.319     0.480
3568.48     92.146     0.905
3620.39     92.134     1.640
3673.05     92.257     2.164
3726.47     92.481     2.124
3780.67     92.730     1.302
3835.67     92.935    -0.336
3891.46     93.021    -2.569
3948.06     92.951    -4.924
4005.49     92.742    -6.891
4063.75     92.460    -8.173
4122.86     92.157    -8.701
4182.82     91.887    -8.510
4243.66     91.714    -7.805
4305.39     91.659    -6.890
4368.01     91.743    -6.149
4431.55     91.925    -6.029
4496.01     92.072    -6.587
4561.40     92.149    -7.524
4627.75     92.155    -8.572
4695.06     92.076    -9.398
4763.35     91.981    -9.746
4832.64     91.964    -9.780
4902.93     92.023    -9.839
4974.24     92.147   -10.186
5046.60     92.290   -10.984
5120.00     92.410   -12.264
5194.47     92.438   -13.794
5270.03     92.410   -15.311
5346.68     92.328   -16.723
5424.45     92.194   -17.872
5503.35     92.051   -18.653
5583.40     91.940   -19.139
5664.61     91.887   -19.573
5747.01     91.863   -20.165
5830.60     91.825   -20.919
5915.41     91.770   -21.781
6001.45     91.653   -22.577
6088.74     91.502   -23.041
6177.30     91.369   -23.092
6267.15     91.329   -22.946
6358.31     91.386   -23.039
6450.80     91.464   -23.603
6544.62     91.509   -24.565
6639.82     91.497   -25.727
6736.40     91.432   -26.907
6834.38     91.320   -27.951
6933.79     91.199   -28.818
7034.64     91.074   -29.562
7136.96     90.951   -30.232
7240.77     90.821   -30.857
7346.09     90.681   -31.427
7452.94     90.529   -31.935
7561.35     90.342   -32.276
7671.33     90.143   -32.300
7782.91     89.974   -32.050
7896.12     89.836   -31.630
8010.97     89.761   -31.206
8127.49     89.723   -31.013
8245.71     89.650   -31.014
8365.65     89.536   -31.003
8487.33     89.365   -30.753
8610.78     89.164   -30.005
8736.03     89.007   -28.737
8863.09     88.919   -27.105
8992.01     88.921   -25.273
9122.80     89.023   -23.464
9255.50     89.185   -21.793
9390.12     89.405   -20.251
9526.70     89.690   -18.847
9665.27     90.063   -17.675
9805.86     90.522   -16.929
9948.49     91.044   -16.819
10093.2     91.580   -17.497
10240.0     92.081   -18.942
10388.9     92.533   -21.063
10540.1     92.892   -23.672
10693.4     93.172   -26.532
10848.9     93.393   -29.578
11006.7     93.534   -32.734
11166.8     93.607   -35.861
11329.2     93.637   -38.944
11494.0     93.606   -41.954
11661.2     93.530   -44.829
11830.8     93.408   -47.531
12002.9     93.246   -50.002
12177.5     93.057   -52.207
12354.6     92.851   -54.143
12534.3     92.632   -55.791
12716.6     92.425   -57.174
12901.6     92.222   -58.326
13089.2     92.037   -59.238
13279.6     91.888   -59.971
13472.8     91.780   -60.623
13668.8     91.716   -61.297
13867.6     91.688   -62.092
14069.3     91.681   -63.062
14273.9     91.687   -64.250
14481.5     91.682   -65.651
14692.2     91.658   -67.207
14905.9     91.615   -68.876
15122.7     91.552   -70.645
15342.7     91.458   -72.488
15565.8     91.332   -74.371
15792.2     91.163   -76.253
16021.9     90.935   -78.017
16255.0     90.638   -79.450
16491.4     90.270   -80.204
16731.3     89.902   -79.935
16974.7     89.703   -78.866
17221.6     89.712   -77.637
17472.1     89.940   -76.880
17726.2     90.310   -77.256
17984.0     90.661   -79.047
18245.6     90.868   -81.865
18511.0     90.924   -85.116
18780.2     90.841   -88.338
19053.4     90.670   -91.251
19330.5     90.448   -93.781
19611.7     90.216   -95.982
19897.0     89.973   -97.923
20186.4     89.741   -99.655
20480.0     89.527  -101.283
20777.9     89.331  -102.922
21080.1     89.126  -104.607
21386.7     88.905  -106.296
21697.8     88.660  -107.932
22013.4     88.389  -109.428
22333.6     88.106  -110.728
22658.4     87.822  -111.815
22988.0     87.550  -112.702
23322.4     87.300  -113.431
23661.6     87.079  -114.059
24005.8     86.887  -114.635
24355.0     86.730  -115.220
24709.2     86.598  -115.861
25068.6     86.491  -116.572
25433.2     86.418  -117.429
25803.2     86.357  -118.471
26178.5     86.314  -119.722
26559.3     86.278  -121.249
26945.6     86.221  -123.019
27337.5     86.151  -124.973
27735.2     86.070  -127.116
28138.6     85.990  -129.557
28547.9     85.887  -132.462
28963.1     85.692  -135.785
29384.4     85.348  -139.149
29811.8     84.840  -141.985
30245.4     84.206  -143.777
30685.3     83.548  -144.301
31131.7     83.030  -143.829
31584.5     82.764  -143.110
32043.9     82.720  -142.974
32510.0     82.782  -143.916
32982.8     82.831  -146.042
33462.6     82.763  -149.125
33949.3     82.511  -152.618
34443.1     82.096  -155.974
34944.1     81.539  -158.826
35452.4     80.893  -160.945
35968.0     80.229  -162.345
36491.2     79.573  -163.153
37022.0     78.949  -163.483
37560.5     78.356  -163.404
38106.8     77.843  -163.040
38661.1     77.415  -162.508
39223.4     77.104  -162.006
39793.9     76.882  -161.512
