Freq[Hz]     dBSPL  Phase[Deg]
5.00000      3.029   174.809
5.07273      3.144   174.787
5.14651      3.295   174.760
5.22137      3.496   174.730
5.29732      3.717   174.710
5.37437      3.962   174.691
5.45254      4.206   174.677
5.53185      4.450   174.663
5.61231      4.695   174.650
5.69394      4.939   174.638
5.77676      5.183   174.625
5.86079      5.427   174.612
5.94604      5.672   174.600
6.03252      5.916   174.587
6.12027      6.160   174.575
6.20929      6.404   174.563
6.29961      6.649   174.551
6.39124      6.893   174.538
6.48420      7.137   174.526
6.57851      7.382   174.514
6.67420      7.626   174.501
6.77128      7.870   174.489
6.86977      8.114   174.477
6.96969      8.359   174.465
7.07107      8.603   174.452
7.17392      8.847   174.440
7.27827      9.092   174.427
7.38413      9.336   174.414
7.49154      9.580   174.402
7.60050      9.824   174.389
7.71105     10.069   174.377
7.82321     10.313   174.364
7.93701     10.557   174.351
8.05245     10.801   174.338
8.16958     11.046   174.324
8.28841     11.290   174.311
8.40896     11.534   174.298
8.53128     11.779   174.284
8.65537     12.023   174.271
8.78126     12.267   174.257
8.90899     12.511   174.243
9.03857     12.756   174.229
9.17004     13.000   174.215
9.30342     13.244   174.200
9.43874     13.489   174.186
9.57603     13.733   174.171
9.71532     13.977   174.157
9.85663     14.221   174.142
10.0000     14.466   174.127
10.1455     14.710   174.112
10.2930     14.954   174.097
10.4427     15.198   174.081
10.5946     15.443   174.066
10.7487     15.687   174.050
10.9051     15.931   174.034
11.0637     16.176   174.018
11.2246     16.420   174.001
11.3879     16.664   173.985
11.5535     16.908   173.968
11.7216     17.153   173.952
11.8921     17.397   173.934
12.0650     17.641   173.917
12.2405     17.886   173.900
12.4186     18.130   173.882
12.5992     18.374   173.864
12.7825     18.618   173.846
12.9684     18.863   173.828
13.1570     19.107   173.809
13.3484     19.351   173.790
13.5426     19.595   173.771
13.7395     19.840   173.752
13.9394     20.084   173.733
14.1421     20.328   173.713
14.3478     20.573   173.693
14.5565     20.817   173.673
14.7683     21.061   173.652
14.9831     21.305   173.632
15.2010     21.550   173.610
15.4221     21.794   173.589
15.6464     22.038   173.567
15.8740     22.282   173.545
16.1049     22.527   173.523
16.3392     22.771   173.501
16.5768     23.015   173.478
16.8179     23.260   173.455
17.0626     23.504   173.431
17.3107     23.748   173.407
17.5625     23.992   173.383
17.8180     24.237   173.359
18.0771     24.481   173.334
18.3401     24.725   173.309
18.6068     24.970   173.284
18.8775     25.214   173.258
19.1521     25.458   173.232
19.4306     25.702   173.205
19.7133     25.947   173.179
20.0000     26.191   173.151
20.2909     26.435   173.124
20.5860     26.679   173.096
20.8855     26.924   173.068
21.1893     27.168   173.039
21.4975     27.412   173.010
21.8102     27.657   172.981
22.1274     27.901   172.951
22.4492     28.145   172.920
22.7758     28.389   172.890
23.1071     28.634   172.859
23.4432     28.878   172.827
23.7841     29.122   172.795
24.1301     29.367   172.763
24.4811     29.611   172.730
24.8372     29.855   172.697
25.1984     30.099   172.663
25.5649     30.344   172.628
25.9368     30.588   172.594
26.3141     30.832   172.559
26.6968     31.076   172.523
27.0851     31.321   172.487
27.4791     31.565   172.450
27.8788     31.809   172.413
28.2843     32.054   172.375
28.6957     32.298   172.337
29.1131     32.542   172.298
29.5365     32.786   172.259
29.9661     33.031   172.219
30.4020     33.275   172.178
30.8442     33.519   172.137
31.2929     33.763   172.095
31.7480     34.008   172.053
32.2098     34.252   172.011
32.6783     34.496   171.967
33.1536     34.741   171.923
33.6359     34.985   171.878
34.1251     35.229   171.833
34.6215     35.473   171.787
35.1250     35.718   171.741
35.6359     35.962   171.693
36.1543     36.206   171.645
36.6802     36.451   171.597
37.2137     36.695   171.548
37.7550     36.939   171.497
38.3041     37.183   171.447
38.8613     37.428   171.395
39.4265     37.672   171.343
40.0000     37.916   171.290
40.5818     38.160   171.237
41.1721     38.405   171.182
41.7710     38.649   171.127
42.3785     38.893   171.071
42.9949     39.138   171.014
43.6203     39.382   170.956
44.2548     39.626   170.898
44.8985     39.870   170.839
45.5515     40.115   170.778
46.2141     40.359   170.717
46.8863     40.603   170.655
47.5683     40.848   170.593
48.2602     41.092   170.529
48.9621     41.336   170.464
49.6743     41.580   170.399
50.3968     41.825   170.332
51.1299     42.069   170.265
51.8736     42.313   170.196
52.6281     42.557   170.127
53.3936     42.802   170.056
54.1702     43.046   169.985
54.9581     43.290   169.913
55.7575     43.535   169.839
56.5685     43.779   169.764
57.3914     44.023   169.689
58.2261     44.267   169.612
59.0730     44.512   169.534
59.9323     44.756   169.455
60.8040     45.000   169.375
61.6884     45.245   169.294
62.5857     45.489   169.211
63.4960     45.733   169.127
64.4196     45.977   169.042
65.3566     46.222   168.956
66.3073     46.466   168.869
67.2717     46.710   168.780
68.2502     46.954   168.690
69.2429     47.199   168.599
70.2501     47.443   168.506
71.2719     47.687   168.412
72.3086     47.932   168.317
73.3603     48.176   168.221
74.4274     48.420   168.122
75.5099     48.664   168.023
76.6083     48.909   167.922
77.7226     49.153   167.820
