Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -19.359  -105.247
5.07273    -19.188  -105.288
5.14651    -18.967  -105.337
5.22137    -18.671  -105.394
5.29732    -18.346  -105.438
5.37437    -17.989  -105.482
5.45254    -17.631  -105.520
5.53185    -17.274  -105.557
5.61231    -16.916  -105.593
5.69394    -16.559  -105.629
5.77676    -16.201  -105.666
5.86079    -15.844  -105.702
5.94604    -15.486  -105.739
6.03252    -15.129  -105.775
6.12027    -14.771  -105.812
6.20929    -14.414  -105.849
6.29961    -14.056  -105.887
6.39124    -13.699  -105.925
6.48420    -13.341  -105.963
6.57851    -12.984  -106.001
6.67420    -12.626  -106.040
6.77128    -12.269  -106.078
6.86977    -11.911  -106.117
6.96969    -11.554  -106.157
7.07107    -11.196  -106.197
7.17392    -10.839  -106.238
7.27827    -10.481  -106.279
7.38413    -10.124  -106.320
7.49154     -9.766  -106.362
7.60050     -9.409  -106.403
7.71105     -9.051  -106.446
7.82321     -8.693  -106.488
7.93701     -8.336  -106.532
8.05245     -7.978  -106.576
8.16958     -7.621  -106.621
8.28841     -7.263  -106.666
8.40896     -6.906  -106.711
8.53128     -6.548  -106.757
8.65537     -6.191  -106.804
8.78126     -5.833  -106.852
8.90899     -5.476  -106.899
9.03857     -5.118  -106.948
9.17004     -4.761  -106.997
9.30342     -4.403  -107.047
9.43874     -4.046  -107.097
9.57603     -3.688  -107.148
9.71532     -3.331  -107.199
9.85663     -2.973  -107.251
10.0000     -2.616  -107.304
10.1455     -2.258  -107.357
10.2930     -1.901  -107.412
10.4427     -1.543  -107.467
10.5946     -1.186  -107.522
10.7487     -0.828  -107.579
10.9051     -0.471  -107.636
11.0637     -0.113  -107.694
11.2246      0.244  -107.752
11.3879      0.602  -107.811
11.5535      0.959  -107.871
11.7216      1.317  -107.932
11.8921      1.675  -107.994
12.0650      2.032  -108.057
12.2405      2.390  -108.120
12.4186      2.747  -108.185
12.5992      3.105  -108.250
12.7825      3.462  -108.316
12.9684      3.820  -108.383
13.1570      4.177  -108.451
13.3484      4.535  -108.520
13.5426      4.892  -108.589
13.7395      5.250  -108.660
13.9394      5.607  -108.732
14.1421      5.965  -108.804
14.3478      6.322  -108.878
14.5565      6.680  -108.953
14.7683      7.037  -109.029
14.9831      7.395  -109.106
15.2010      7.752  -109.184
15.4221      8.110  -109.263
15.6464      8.467  -109.344
15.8740      8.825  -109.425
16.1049      9.182  -109.508
16.3392      9.540  -109.591
16.5768      9.897  -109.676
16.8179     10.255  -109.763
17.0626     10.612  -109.850
17.3107     10.970  -109.939
17.5625     11.328  -110.029
17.8180     11.685  -110.120
18.0771     12.043  -110.212
18.3401     12.400  -110.306
18.6068     12.758  -110.401
18.8775     13.115  -110.498
19.1521     13.473  -110.596
19.4306     13.830  -110.695
19.7133     14.188  -110.795
20.0000     14.545  -110.898
20.2909     14.903  -111.001
20.5860     15.260  -111.106
20.8855     15.618  -111.213
21.1893     15.975  -111.321
21.4975     16.333  -111.431
21.8102     16.690  -111.542
22.1274     17.048  -111.655
22.4492     17.405  -111.770
22.7758     17.763  -111.886
23.1071     18.120  -112.004
23.4432     18.478  -112.124
23.7841     18.835  -112.245
24.1301     19.193  -112.368
24.4811     19.550  -112.493
24.8372     19.908  -112.620
25.1984     20.265  -112.749
25.5649     20.623  -112.879
25.9368     20.980  -113.011
26.3141     21.338  -113.146
26.6968     21.696  -113.282
27.0851     22.053  -113.420
27.4791     22.411  -113.561
27.8788     22.768  -113.703
28.2843     23.126  -113.848
28.6957     23.483  -113.995
29.1131     23.841  -114.144
29.5365     24.198  -114.295
29.9661     24.556  -114.448
30.4020     24.913  -114.604
30.8442     25.271  -114.762
31.2929     25.628  -114.922
31.7480     25.986  -115.085
32.2098     26.343  -115.250
32.6783     26.701  -115.418
33.1536     27.058  -115.588
33.6359     27.416  -115.761
34.1251     27.773  -115.936
34.6215     28.131  -116.114
35.1250     28.488  -116.295
35.6359     28.846  -116.478
36.1543     29.203  -116.665
36.6802     29.561  -116.854
37.2137     29.918  -117.046
37.7550     30.276  -117.241
38.3041     30.633  -117.438
38.8613     30.991  -117.639
39.4265     31.349  -117.844
40.0000     31.706  -118.051
40.5818     32.064  -118.261
41.1721     32.421  -118.475
41.7710     32.779  -118.692
42.3785     33.136  -118.912
42.9949     33.494  -119.136
43.6203     33.851  -119.363
44.2548     34.209  -119.594
44.8985     34.566  -119.828
45.5515     34.924  -120.067
46.2141     35.281  -120.309
46.8863     35.639  -120.554
47.5683     35.996  -120.804
48.2602     36.354  -121.058
48.9621     36.711  -121.316
49.6743     37.069  -121.577
50.3968     37.426  -121.844
51.1299     37.784  -122.114
51.8736     38.141  -122.389
52.6281     38.499  -122.669
53.3936     38.856  -122.953
54.1702     39.214  -123.242
54.9581     39.571  -123.535
55.7575     39.929  -123.833
56.5685     40.286  -124.137
57.3914     40.644  -124.446
58.2261     41.001  -124.759
59.0730     41.359  -125.079
59.9323     41.717  -125.403
60.8040     42.074  -125.734
61.6884     42.432  -126.070
62.5857     42.789  -126.412
63.4960     43.147  -126.760
64.4196     43.504  -127.114
65.3566     43.862  -127.475
66.3073     44.219  -127.842
67.2717     44.577  -128.216
68.2502     44.934  -128.597
69.2429     45.292  -128.984
70.2501     45.649  -129.380
71.2719     46.007  -129.782
72.3086     46.364  -130.193
73.3603     46.722  -130.612
74.4274     47.079  -131.038
75.5099     47.437  -131.474
76.6083     47.794  -131.918
77.7226     48.152  -132.372
78.8531     48.509  -132.835
80.0000     48.867  -133.309
81.1636     49.224  -133.792
82.3442     49.582  -134.287
83.5419     49.939  -134.793
84.7570     50.297  -135.311
85.9899     50.654  -135.842
87.2406     51.012  -136.386
88.5096     51.369  -136.944
89.7970     51.727  -137.517
91.1031     52.085  -138.107
92.4282     52.442  -138.715
93.7726     52.800  -139.342
95.1366     53.157  -139.991
96.5204     53.515  -140.664
97.9243     53.872  -141.365
99.3486     54.230  -142.101
100.794     54.587  -142.884
102.260     54.941  -143.726
103.747     55.288  -144.636
105.256     55.617  -145.597
106.787     55.925  -146.551
108.340     56.217  -147.449
109.916     56.495  -148.236
111.515     56.779  -148.886
113.137     57.078  -149.439
114.783     57.392  -149.922
116.452     57.736  -150.386
118.146     58.110  -150.918
119.865     58.508  -151.590
121.608     58.926  -152.470
123.377     59.357  -153.652
125.171     59.773  -155.211
126.992     60.141  -157.116
128.839     60.444  -159.268
130.713     60.663  -161.524
132.615     60.793  -163.680
134.543     60.843  -165.524
136.500     60.836  -166.887
138.486     60.810  -167.698
140.500     60.794  -167.976
142.544     60.813  -167.800
144.617     60.884  -167.282
146.721     61.017  -166.562
148.855     61.200  -165.753
151.020     61.425  -164.885
153.217     61.698  -163.986
155.445     62.021  -163.120
157.706     62.392  -162.345
160.000     62.814  -161.756
162.327     63.264  -161.440
164.688     63.727  -161.426
167.084     64.185  -161.703
169.514     64.627  -162.217
171.980     65.049  -162.895
174.481     65.454  -163.688
177.019     65.839  -164.557
179.594     66.210  -165.473
182.206     66.565  -166.404
184.856     66.913  -167.315
